SS_2017	SS_2014
8.307	8.429
8.307	8.546
8.317	9.61
8.324	8.153
8.327	8.337
8.338	10.673
8.345	8.87
8.36	8.588
8.365	8.617
8.365	8.536
8.376	9.407
8.376	8.793
8.383	9.266
8.394	9.478
8.397	8.831
8.408	8.536
8.409	9.07
8.426	9.062
8.429	9.98
8.435	9.448
8.44	8.934
8.44	8.875
8.442	8.38
8.442	10.689
8.448	10.774
8.452	9.72
8.482	8.557
8.485	9.281
8.518	8.809
8.528	9.313
8.55	9.988
8.551	8.798
8.573	9.359
8.587	8.633
8.625	10.07
8.626	8.751
8.644	7.891
8.644	8.685
8.646	9.112
8.66	8.939
8.678	8.222
8.678	8.222
8.687	9.328
8.687	10.062
8.694	9.361
8.727	9.034
8.728	10.495
8.746	9.189
8.754	9.47
8.759	8.892
8.765	9.967
8.79	8.983
8.807	8.482
8.807	10.598
8.807	9.113
8.811	10.254
8.844	9.592
8.859	10.274
8.867	10.061
8.898	9.991
8.921	9.164
8.931	10.273
8.963	9.546
8.982	10.14
8.997	10.156
9.016	10.406
9.035	8.828
9.047	9.801
9.063	8.776
9.066	9.212
9.137	8.499
9.199	9.096
9.203	10.129
9.204	10.675
9.205	10.376
9.207	9.527
9.21	9.331
9.211	10.719
9.223	10.744
9.241	9.748
9.249	9.829
9.259	9.189
9.271	10.922
9.307	8.67
9.307	10.091
9.315	9.177
9.384	11.645
9.437	10.012
9.456	8.383
9.469	9.557
9.483	10.271
9.551	10.286
9.554	10.041
9.559	10.005
9.56	9.967
9.605	9.994
9.608	10.629
9.668	10.185
9.673	10.214
9.677	10.974
9.71	10.198
9.71	10.227
9.715	10.227
9.715	10.227
9.717	10.805
9.748	10.163
9.868	10.962
9.869	9.718
9.872	10.759
9.902	10.326
9.921	10.879
9.934	10.394
9.955	10.785
9.986	9.387
10.066	10.555
10.068	10.667
10.068	10.667
10.07	11.245
10.09	11.603
10.111	11.171
10.118	11.317
10.123	10.799
10.128	10.337
10.131	11.902
10.161	10.326
10.164	11.271
10.171	10.489
10.179	9.474
10.193	10.303
10.229	11.782
10.236	11.691
10.314	10.399
10.393	10.536
10.411	10.776
10.414	10.61
10.472	10.837
10.528	11.41
10.53	10.746
10.533	10.828
10.555	11.824
10.572	11.065
10.572	11.065
10.654	11.061
10.687	10.447
10.827	10.973
10.847	11.775
10.858	11.088
10.925	12.03
11.056	12.147
11.076	11.335
11.157	11.065
11.244	10.987
11.248	12.55
11.275	11.754
11.306	12.139
11.323	11.722
11.457	11.929
11.531	12.479
11.557	12.357
11.583	11.682
11.614	11.761
11.646	11.815
11.715	11.792
11.715	11.806
11.81	13.305
11.928	12.392
12.059	11.402
12.228	13.449
12.336	12.133
12.431	14.108
12.459	13.955
12.623	13.092
12.94	14.402
12.954	13.05
13.066	14.199
13.097	14.611
13.145	14.639
13.155	14.478
13.193	13.873
13.473	13.878
13.486	14.67
13.613	14.217
13.613	13.904
13.634	14.326
13.642	14.174
13.652	14.049
13.661	14.212
13.661	14.139
13.683	14.335
13.699	14.201
13.699	14.246
13.807	14.285
13.812	14.079
13.816	14.441
13.834	14.333
13.839	14.67
13.839	14.611
13.839	14.331
13.839	14.611
13.839	14.153
13.841	14.497
13.866	14.395
13.87	14.15
13.887	14.366
13.887	14.611
13.897	14.419
13.983	14.372
14.007	15.02
14.163	14.924
14.236	15.028
14.253	14.25
14.283	14.456
14.39	14.799
14.453	14.512
14.51	14.843
14.666	15.072
14.893	15.08
15.194	15.205
15.296	15.245
16.018	16.28

