Specie 	Kigdom 	Phylum 	Class 	Order 	Family 	Genus 	S_guild	MEBS_S	MEBS_CH4	MEBS_N	MEBS_O	MEBS_Fe	ROC_Fe	ROC_CH4	ROC_O	ROC_N	ROC_S	CAT_N	CAT_O	CAT_M	Cat_Fe
Corynebacterium lactis RW2-5	 Bacteria	 Actinobacteria	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	0	NS	-1.188	1.232	14.308	4.442	3.235	ND	ND	ND	ND	NS	ND	ND	ND	ND
Muricauda ruestringensis DSM 13258	 Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Muricauda	NS	-1.479	1.228	16.419	3.441	4.719	ND	ND	ND	ND	NS	ND	ND	ND	ND
Mycobacterium immunogenum	 Bacteria	 Actinobacteria	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	0	NS	-0.624	1.223	27.958	5.798	2.161	ND	ND	ND	ND	NS	ND	ND	ND	ND
Mycobacterium abscessus	 Bacteria	 Actinobacteria	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	0	NS	-0.773	1.223	26.802	5.798	2.304	ND	ND	ND	ND	NS	ND	ND	ND	ND
Mycobacterium sp. QIA-37	 Bacteria	 Actinobacteria	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	0	NS	-0.558	1.223	26.221	5.798	2.262	ND	ND	ND	ND	NS	ND	ND	ND	ND
Rickettsia conorii str. Malish 7	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Rickettsiaceae	 Rickettsieae	NS	0.572	1.218	8.667	1.609	4.08	ND	ND	ND	ND	NS	ND	ND	ND	ND
Rickettsia canadensis str. McKiel	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Rickettsiaceae	 Rickettsieae	NS	0.105	1.218	7.931	1.609	4.08	ND	ND	ND	ND	NS	ND	ND	ND	ND
Listeria monocytogenes serotype 4b str. F2365	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Listeriaceae	 Listeria	NS	0.048	1.209	12.932	3.88	1.497	ND	ND	ND	ND	NS	ND	ND	ND	ND
Maricaulis maris MCS10	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Hyphomonadaceae	 Maricaulis	NS	0.2	1.206	20.992	4.413	4.226	ND	ND	ND	ND	NS	ND	ND	ND	ND
Streptococcus pyogenes M1 GAS	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	NS	-1.778	1.197	3.031	0.771	0.407	ND	ND	ND	ND	NS	ND	ND	ND	ND
Salinibacter ruber DSM 13855	 Bacteria	 Bacteroidetes	 Bacteroidetes Order II. Incertae sedis	 Rhodothermaceae	 Salinibacter	0	NS	0.17	1.196	15.467	3.3	2.766	ND	ND	ND	ND	NS	ND	ND	ND	ND
Acidilobus saccharovorans 345-15	 Archaea	 Crenarchaeota	 Thermoprotei	 Acidilobales	 Acidilobaceae	 Acidilobus	Sur	5.303	1.194	12.462	0.129	0.844	ND	ND	ND	ND	Sur	ND	ND	ND	ND
Shewanella denitrificans OS217	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Shewanellaceae	 Shewanella	NS	-0.574	1.189	16.606	4.034	7.237	ND	ND	ND	ND	NS	ND	ND	ND	ND
Halanaerobium praevalens DSM 2228	 Bacteria	 Firmicutes	 Clostridia	 Halanaerobiales	 Halanaerobiaceae	 Halanaerobium	NS	1.258	1.188	9.331	0.053	1.287	ND	ND	ND	ND	NS	ND	ND	ND	ND
Propionibacterium acnes KPA171202	 Bacteria	 Actinobacteria	 Propionibacteriales	 Propionibacteriaceae	 Propionibacterium	0	NS	2.122	1.17	15.774	2.49	3.779	ND	ND	ND	ND	NS	ND	ND	ND	ND
Myroides sp. A21	 Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Myroides	NS	-0.337	1.169	17.007	3.409	3.873	ND	ND	ND	ND	NS	ND	ND	ND	ND
Chryseobacterium gallinarum	 Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Chryseobacterium	NS	-0.168	1.163	18.948	2.525	2.703	ND	ND	ND	ND	NS	ND	ND	ND	ND
Algibacter alginolytica	 Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Algibacter	NS	-0.791	1.161	15.268	4.219	4.663	ND	ND	ND	ND	NS	ND	ND	ND	ND
Sanguibacter keddieii DSM 10542	 Bacteria	 Actinobacteria	 Micrococcales	 Sanguibacteraceae	 Sanguibacter	0	NS	-2.2	1.159	16.641	3.826	2.511	ND	ND	ND	ND	NS	ND	ND	ND	ND
Francisella tularensis subsp. tularensis SCHU S4	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Thiotrichales	 Francisellaceae	 Francisella	NS	0.116	1.156	12.137	1.592	1.744	ND	ND	ND	ND	NS	ND	ND	ND	ND
Allofrancisella guangzhouensis	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Thiotrichales	 Francisellaceae	 Francisella	NS	0.06	1.156	10.822	1.592	1.537	ND	ND	ND	ND	NS	ND	ND	ND	ND
Planococcus sp. PAMC 21323	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Planococcaceae	 Planococcus	NS	-0.613	1.155	17.384	3.635	3.581	ND	ND	ND	ND	NS	ND	ND	ND	ND
Lactobacillus fermentum IFO 3956	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	NS	0.427	1.155	6.054	1.964	1.395	ND	ND	ND	ND	NS	ND	ND	ND	ND
Flavobacterium branchiophilum FL-15	 Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Flavobacterium	NS	0.195	1.144	16.118	4.347	3.873	ND	ND	ND	ND	NS	ND	ND	ND	ND
Haemophilus somnus 129PT	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pasteurellales	 Pasteurellaceae	 Histophilus	NS	2.959	1.133	8.843	0.518	4.223	ND	ND	ND	ND	NS	ND	ND	ND	ND
Atopobium parvulum DSM 20469	 Bacteria	 Actinobacteria	 Coriobacteriia	 Coriobacteriales	 Atopobiaceae	 Atopobium	NS	0.14	1.126	5.387	1.203	0.846	ND	ND	ND	ND	NS	ND	ND	ND	ND
Corynebacterium sp. ATCC 6931	 Bacteria	 Actinobacteria	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	0	NS	-1.046	1.111	14.82	4.399	3.459	ND	ND	ND	ND	NS	ND	ND	ND	ND
Jeotgalibacillus malaysiensis	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Planococcaceae	 Jeotgalibacillus	NS	-1.198	1.108	17.58	5.251	3.48	ND	ND	ND	ND	NS	ND	ND	ND	ND
Isoptericola variabilis 225	 Bacteria	 Actinobacteria	 Micrococcales	 Promicromonosporaceae	 Isoptericola	0	NS	-2.009	1.107	17.603	4.014	2.391	ND	ND	ND	ND	NS	ND	ND	ND	ND
Candidatus Liberibacter americanus str. Sao Paulo	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Candidatus Liberibacter	NS	0.163	1.1	8.501	1.934	0.665	ND	ND	ND	ND	NS	ND	ND	ND	ND
Prevotella dentalis DSM 3688	 Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella	NS	-0.465	1.097	9.787	0.177	4.8	ND	ND	ND	ND	NS	ND	ND	ND	ND
Lactobacillus rhamnosus GG	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	NS	-0.964	1.095	6.443	1.929	0.775	ND	ND	ND	ND	NS	ND	ND	ND	ND
Blattabacterium sp. (Blattella germanica) str. Bge	 Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Blattabacteriaceae	 Blattabacterium	NS	0.564	1.084	6.809	3.254	2.938	ND	ND	ND	ND	NS	ND	ND	ND	ND
Bacillus sp. WP8	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	NS	1.42	1.077	16.65	5.127	3.641	ND	ND	ND	ND	NS	ND	ND	ND	ND
Parvibaculum lavamentivorans DS-1	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhodobiaceae	 Parvibaculum	NS	-2.493	1.074	22.195	4.683	5.907	ND	ND	ND	ND	NS	ND	ND	ND	ND
Pasteurella multocida subsp. multocida OH4807	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pasteurellales	 Pasteurellaceae	 Pasteurella	NS	2.657	1.072	9.821	1.382	4.75	ND	ND	ND	ND	NS	ND	ND	ND	ND
Finegoldia magna ATCC 29328	 Bacteria	 Firmicutes	 Tissierellia	 Tissierellales	 Peptoniphilaceae	 Finegoldia	NS	0.586	1.069	9.016	0.152	0.609	ND	ND	ND	ND	NS	ND	ND	ND	ND
Segniliparus rotundus DSM 44985	 Bacteria	 Actinobacteria	 Corynebacteriales	 Segniliparaceae	 Segniliparus	0	NS	-2.287	1.068	19.981	5.862	2.203	ND	ND	ND	ND	NS	ND	ND	ND	ND
Haemophilus influenzae 86-028NP	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pasteurellales	 Pasteurellaceae	 Haemophilus	NS	3.157	1.065	9.379	0.553	4.154	ND	ND	ND	ND	NS	ND	ND	ND	ND
Microlunatus phosphovorus NM-1	 Bacteria	 Actinobacteria	 Propionibacteriales	 Propionibacteriaceae	 Microlunatus	0	NS	-0.558	1.047	25.812	4.666	3.02	ND	ND	ND	ND	NS	ND	ND	ND	ND
Coxiella-like endosymbiont	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Legionellales	 Coxiellaceae	0	NS	0.669	1.045	8.731	0.911	1.621	ND	ND	ND	ND	NS	ND	ND	ND	ND
Rickettsia monacensis	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Rickettsiaceae	 Rickettsieae	NS	0.524	1.044	7.812	1.417	4.08	ND	ND	ND	ND	NS	ND	ND	ND	ND
Bacillus sp. OxB-1	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	NS	2.207	1.04	18.232	4.191	3.48	ND	ND	ND	ND	NS	ND	ND	ND	ND
Vulgatibacter incomptus	 Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Cystobacterineae	 Vulgatibacteraceae	NS	0.533	1.039	17.445	1.739	5.58	ND	ND	ND	ND	NS	ND	ND	ND	ND
Lactobacillus salivarius UCC118	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	NS	-1.337	1.036	5.253	1.788	0.633	ND	ND	ND	ND	NS	ND	ND	ND	ND
Listeria seeligeri serovar 1/2b str. SLCC3954	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Listeriaceae	 Listeria	NS	0.205	1.035	13.506	4.049	1.497	ND	ND	ND	ND	NS	ND	ND	ND	ND
Rickettsia bellii RML369-C	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Rickettsiaceae	 Rickettsieae	NS	0.324	1.034	8.661	1.674	3.831	ND	ND	ND	ND	NS	ND	ND	ND	ND
Deinococcus maricopensis DSM 21211	 Bacteria	 Deinococcus-Thermus	 Deinococci	 Deinococcales	 Deinococcaceae	 Deinococcus	NS	0.876	1.032	17.129	4.846	2.902	ND	ND	ND	ND	NS	ND	ND	ND	ND
Lactobacillus acetotolerans	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	NS	-1.333	1.018	3.573	0.933	-0.027	ND	ND	ND	ND	NS	ND	ND	ND	ND
Corynebacterium terpenotabidum Y-11	 Bacteria	 Actinobacteria	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	0	NS	-2.545	1.005	17.002	4.46	2.113	ND	ND	ND	ND	NS	ND	ND	ND	ND
Corynebacterium jeikeium K411	 Bacteria	 Actinobacteria	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	0	NS	-2.895	1.005	12.548	4.399	2.262	ND	ND	ND	ND	NS	ND	ND	ND	ND
Treponema putidum	 Bacteria	 Spirochaetes	 Spirochaetales	 Spirochaetaceae	 Treponema	0	NS	0.225	0.989	7.01	-0.196	0.225	ND	ND	ND	ND	NS	ND	ND	ND	ND
Lactobacillus plantarum JDM1	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	NS	2.578	0.981	5.832	0.377	0.526	ND	ND	ND	ND	NS	ND	ND	ND	ND
Marivirga tractuosa DSM 4126	 Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales	 Flammeovirgaceae	 Marivirga	NS	-0.819	0.98	14.763	4.07	4.271	ND	ND	ND	ND	NS	ND	ND	ND	ND
Cellulophaga lytica DSM 7489	 Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Cellulophaga	NS	-1.302	0.972	16.915	4.601	3.91	ND	ND	ND	ND	NS	ND	ND	ND	ND
Cellulophaga baltica 18	 Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Cellulophaga	NS	-0.126	0.957	17.944	4.601	4.833	ND	ND	ND	ND	NS	ND	ND	ND	ND
Bartonella quintana str. Toulouse	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Bartonellaceae	 Bartonella	NS	0.432	0.951	9.111	1.419	1.346	ND	ND	ND	ND	NS	ND	ND	ND	ND
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Leuconostocaceae	 Leuconostoc	NS	-1.467	0.949	5.478	2.074	1.347	ND	ND	ND	ND	NS	ND	ND	ND	ND
Solibacillus silvestris StLB046	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Planococcaceae	 Solibacillus	NS	-1.594	0.946	16.2	5.305	3.452	ND	ND	ND	ND	NS	ND	ND	ND	ND
Sediminicola sp. YIK13	 Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Sediminicola	NS	-1.212	0.931	16.707	4.838	4.09	ND	ND	ND	ND	NS	ND	ND	ND	ND
Planococcus antarcticus DSM 14505	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Planococcaceae	 Planococcus	NS	0.061	0.918	16.036	4.057	3.581	ND	ND	ND	ND	NS	ND	ND	ND	ND
Planococcus halocryophilus	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Planococcaceae	 Planococcus	NS	-1.027	0.915	15.96	4.303	3.581	ND	ND	ND	ND	NS	ND	ND	ND	ND
Brevundimonas naejangsanensis	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 Brevundimonas	NS	-1.239	0.913	14.946	1.155	4.199	ND	ND	ND	ND	NS	ND	ND	ND	ND
Corynebacterium callunae DSM 20147	 Bacteria	 Actinobacteria	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	0	NS	-2.371	0.906	14.296	5.051	2.391	ND	ND	ND	ND	NS	ND	ND	ND	ND
Lysinibacillus fusiformis	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Lysinibacillus	NS	1.289	0.905	20.612	3.35	3.93	ND	ND	ND	ND	NS	ND	ND	ND	ND
Bartonella henselae str. Houston-1	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Bartonellaceae	 Bartonella	NS	-0.102	0.9	10.367	1.315	1.861	ND	ND	ND	ND	NS	ND	ND	ND	ND
Lactococcus garvieae ATCC 49156	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Lactococcus	NS	-0.042	0.895	4.598	1.651	0.697	ND	ND	ND	ND	NS	ND	ND	ND	ND
Streptococcus infantarius subsp. infantarius CJ18	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	NS	-1.384	0.893	5.685	2.017	0.866	ND	ND	ND	ND	NS	ND	ND	ND	ND
Arcanobacterium haemolyticum DSM 20595	 Bacteria	 Actinobacteria	 Actinomycetales	 Actinomycetaceae	 Arcanobacterium	0	NS	1.808	0.887	11.597	0.484	4.943	ND	ND	ND	ND	NS	ND	ND	ND	ND
Listeria welshimeri serovar 6b str. SLCC5334	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Listeriaceae	 Listeria	NS	0.568	0.884	13.493	3.88	1.497	ND	ND	ND	ND	NS	ND	ND	ND	ND
Rickettsia prowazekii str. Rp22	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Rickettsiaceae	 Rickettsieae	NS	0.189	0.877	8.782	1.609	4.329	ND	ND	ND	ND	NS	ND	ND	ND	ND
Rickettsia akari str. Hartford	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Rickettsiaceae	 Rickettsieae	NS	0.078	0.877	8.602	1.609	4.329	ND	ND	ND	ND	NS	ND	ND	ND	ND
Rickettsia typhi str. Wilmington	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Rickettsiaceae	 Rickettsieae	NS	0.189	0.877	8.519	1.609	4.145	ND	ND	ND	ND	NS	ND	ND	ND	ND
Prevotella intermedia 17	 Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella	NS	-0.053	0.877	9.226	0.155	3.795	ND	ND	ND	ND	NS	ND	ND	ND	ND
Neorickettsia helminthoeca str. Oregon	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Anaplasmataceae	 Neorickettsia	NS	0.654	0.87	9.163	1.557	4.015	ND	ND	ND	ND	NS	ND	ND	ND	ND
Bifidobacterium animalis subsp. lactis AD011	 Bacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	0	NS	0.522	0.863	4.721	2.082	1.471	ND	ND	ND	ND	NS	ND	ND	ND	ND
Brachyspira hyodysenteriae WA1	 Bacteria	 Spirochaetes	 Brachyspirales	 Brachyspiraceae	 Brachyspira	0	NS	-0.432	0.863	9.433	0.457	1.858	ND	ND	ND	ND	NS	ND	ND	ND	ND
Glutamicibacter arilaitensis	 Bacteria	 Actinobacteria	 Micrococcales	 Micrococcaceae	 Glutamicibacter	0	NS	-2.09	0.857	23.497	4.702	2.67	ND	ND	ND	ND	NS	ND	ND	ND	ND
Rickettsia felis URRWXCal2	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Rickettsiaceae	 Rickettsieae	NS	0.125	0.849	9.309	1.609	4.08	ND	ND	ND	ND	NS	ND	ND	ND	ND
Prevotella melaninogenica ATCC 25845	 Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella	NS	0.098	0.849	9.735	0.001	2.929	ND	ND	ND	ND	NS	ND	ND	ND	ND
Kineococcus radiotolerans SRS30216 = ATCC BAA-149	 Bacteria	 Actinobacteria	 Kineosporiales	 Kineosporiaceae	 Kineococcus	0	NS	-0.917	0.848	21.547	4.972	2.262	ND	ND	ND	ND	NS	ND	ND	ND	ND
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	NS	-1.558	0.847	4.733	1.15	-0.305	ND	ND	ND	ND	NS	ND	ND	ND	ND
Bifidobacterium longum NCC2705	 Bacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	0	NS	0.564	0.833	4.853	1.792	0.2	ND	ND	ND	ND	NS	ND	ND	ND	ND
Gardnerella vaginalis ATCC 14019	 Bacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Gardnerella	0	NS	0.542	0.833	3.48	1.406	0.051	ND	ND	ND	ND	NS	ND	ND	ND	ND
Pseudarthrobacter chlorophenolicus A6	 Bacteria	 Actinobacteria	 Micrococcales	 Micrococcaceae	 Pseudarthrobacter	0	NS	-2.781	0.832	22.957	4.573	2.331	ND	ND	ND	ND	NS	ND	ND	ND	ND
Hymenobacter sp. APR13	 Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales	 Cytophagaceae	 Hymenobacter	NS	-0.885	0.826	20.876	3.652	4.676	ND	ND	ND	ND	NS	ND	ND	ND	ND
Streptococcus intermedius JTH08	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus,	NS	-0.095	0.82	4.674	1.427	0.196	ND	ND	ND	ND	NS	ND	ND	ND	ND
Fluviicola taffensis DSM 16823	 Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Cryomorphaceae	 Fluviicola	NS	-1.24	0.818	13.592	2.588	3.934	ND	ND	ND	ND	NS	ND	ND	ND	ND
Corynebacterium deserti GIMN1.010	 Bacteria	 Actinobacteria	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	0	NS	-1.238	0.813	15.667	5.274	2.322	ND	ND	ND	ND	NS	ND	ND	ND	ND
Acidaminococcus intestini RyC-MR95	 Bacteria	 Firmicutes	 Negativicutes	 Selenomonadales	 Acidaminococcaceae	 Acidaminococcus	NS	-0.359	0.812	8.091	-0.022	1.038	ND	ND	ND	ND	NS	ND	ND	ND	ND
Treponema denticola ATCC 35405	 Bacteria	 Spirochaetes	 Spirochaetales	 Spirochaetaceae	 Treponema	0	NS	0.452	0.798	7.295	-0.196	1.056	ND	ND	ND	ND	NS	ND	ND	ND	ND
Lactobacillus kefiranofaciens ZW3	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	NS	-1.01	0.792	3.893	1.376	-0.525	ND	ND	ND	ND	NS	ND	ND	ND	ND
endosymbiont of Llaveia axin axin	 Bacteria	 Bacteroidetes	 Flavobacteriia	0	0	0	NS	0.965	0.758	2.375	1.201	3.111	ND	ND	ND	ND	NS	ND	ND	ND	ND
Lactobacillus sakei subsp. sakei 23K	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	NS	-0.196	0.756	3.404	1.385	-0.134	ND	ND	ND	ND	NS	ND	ND	ND	ND
Bifidobacterium thermophilum RBL67	 Bacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	0	NS	0.647	0.751	4.556	1.792	1.031	ND	ND	ND	ND	NS	ND	ND	ND	ND
Bifidobacterium breve ACS-071-V-Sch8b	 Bacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	0	NS	0.441	0.751	4.487	1.792	0.225	ND	ND	ND	ND	NS	ND	ND	ND	ND
Bifidobacterium adolescentis ATCC 15703	 Bacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	0	NS	0.745	0.751	4.444	1.792	1.031	ND	ND	ND	ND	NS	ND	ND	ND	ND
Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043	 Bacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	0	NS	0.91	0.751	4.355	1.792	0.318	ND	ND	ND	ND	NS	ND	ND	ND	ND
Neorickettsia sennetsu str. Miyayama	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Anaplasmataceae	 Neorickettsia	NS	0.761	0.745	9.187	1.701	4.015	ND	ND	ND	ND	NS	ND	ND	ND	ND
Bifidobacterium pseudolongum PV8-2	 Bacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	0	NS	0.147	0.741	5.182	2.082	0.782	ND	ND	ND	ND	NS	ND	ND	ND	ND
Lactobacillus helveticus DPC 4571	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	NS	-0.898	0.74	3.386	1.359	-0.263	ND	ND	ND	ND	NS	ND	ND	ND	ND
Bifidobacterium kashiwanohense PV20-2	 Bacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	0	NS	0.244	0.734	6.313	1.792	0.214	ND	ND	ND	ND	NS	ND	ND	ND	ND
Bifidobacterium angulatum	 Bacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Bifidobacterium	0	NS	0.53	0.734	4.975	1.792	0.539	ND	ND	ND	ND	NS	ND	ND	ND	ND
Acholeplasma palmae J233	 Bacteria	 Tenericutes	 Mollicutes	 Acholeplasmatales	 Acholeplasmataceae	 Acholeplasma	NS	-0.53	0.732	4.207	0.816	-0.005	ND	ND	ND	ND	NS	ND	ND	ND	ND
Pseudoalteromonas sp. SM9913	 Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Pseudoalteromonadaceae	 Pseudoalteromonas	NS	-1.262	0.726	15.796	4.111	4.377	ND	ND	ND	ND	NS	ND	ND	ND	ND
Siansivirga zeaxanthinifaciens CC-SAMT-1	 Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Siansivirga	NS	-0.398	0.719	13.436	4.058	3.502	ND	ND	ND	ND	NS	ND	ND	ND	ND
Cutibacterium avidum 44067	 Bacteria	 Actinobacteria	 Propionibacteriales	 Propionibacteriaceae	 Propionibacterium	0	NS	1.624	0.712	15.762	3.81	3.908	ND	ND	ND	ND	NS	ND	ND	ND	ND
Streptococcus dysgalactiae subsp. equisimilis GGS_124	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	NS	-1.716	0.711	3.796	0.626	0.8	ND	ND	ND	ND	NS	ND	ND	ND	ND
Lactobacillus ginsenosidimutans	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	NS	0.726	0.708	6.596	1.006	0.564	ND	ND	ND	ND	NS	ND	ND	ND	ND
Corynebacterium casei LMG S-19264	 Bacteria	 Actinobacteria	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	0	NS	-0.077	0.698	14.996	4.972	2.79	ND	ND	ND	ND	NS	ND	ND	ND	ND
Bacillus pumilus	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	NS	1.42	0.686	17.548	4.805	3.641	ND	ND	ND	ND	NS	ND	ND	ND	ND
Bacillus pumilus SAFR-032	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	NS	1.597	0.686	17.491	4.805	3.641	ND	ND	ND	ND	NS	ND	ND	ND	ND
Listeria ivanovii subsp. ivanovii PAM 55	 Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Listeriaceae	 Listeria	NS	0.047	0.679	12.699	3.887	1.497	ND	ND	ND	ND	NS	ND	ND	ND	ND
Candidatus Liberibacter asiaticus str. psy62	 Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Candidatus Liberibacter	NS	0.222	0.675	8.626	1.934	0.665	ND	ND	ND	ND	NS	ND	ND	ND	ND
Enterococcus faecium DO	 Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Enterococcaceae	 Enterococcus	NS	-0.034	0.665	4.576	1.932	0.586	ND	ND	ND	ND	NS	ND	ND	ND	ND
