ID 	MSL	SS	SS_pos 	SS_2014	biome	feature	material	env_package	location	latitude	longitude	depth
4441144.3	237	7.721	13.847	14.107	marine habitat	marine habitat	marine habitat	water	Cape May, NJ	38.94	-74.685	1
4546280.3	30	7.715	13.611	13.294	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	1.5580384	103.6420599	0
4494863.3	32	7.715	13.611	13.666	aquatic biome	wastewater treatment plant	activated sludge	wastewater|sludge	Xiangcheng Henan province	33.44	114.9	0
4546368.3	30	7.708	13.611	13.446	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	1.5580384	103.6420599	0
4546290.3	30	7.708	13.611	13.392	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	9.5580384	111.6420599	0
4546288.3	29	7.708	13.611	13.294	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	7.5580384	109.6420599	0
4546287.3	30	7.708	13.611	13.446	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	6.5580384	108.6420599	0
4546283.3	30	7.708	13.611	13.392	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	2.5580384	104.6420599	0
4546281.3	30	7.708	13.611	13.294	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	1.5580384	103.6420599	0
4546291.3	30	7.697	13.611	13.446	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	10.5580384	112.6420599	0
4441591.3	243	7.696	14.134	15.462	marine habitat	marine habitat	marine habitat	water	Eastern Tropical Pacific, Gulf of Panama	8.1292	-79.6911	1.6
4510162.3	32	7.676	13.571	13.575	marine benthic biome	ocean	marine sediment	sediment	Gulf of Mexico	28.742303	-88.362169	0
4546373.3	29	7.666	13.562	13.355	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	4.5580384	106.6420599	0
4478941.3	141	7.666	14.072	14.631	Tropical and subtropical moist broadleaf forest biome	agricultural soil	bulk soil	soil	Amazonia	-11.7412664	-56.2533385	0
4531922.3	32	7.659	13.562	13.355	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	1.5580384	103.6420599	0
4539523.3	29	7.658	13.562	13.477	terrestrial biome	terrestrial habitat	soil	soil	Iowa	41.771111	-92.961667	0
4546371.3	30	7.652	13.495	13.265	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	2.5580384	104.6420599	0
4479944.3	128	7.652	14.087	14.544	Subtropical and temperate rainforests or woodlands	Zoological garden	compost	built environment	Sao Paulo Zoo Park	-23	-46	0
4493727.3	258	7.651	12.734	13.512	activated sludge	lake	water	wastewater|sludge	Jiangsu	32.05	118.72	0
4539516.3	29	7.649	13.551	13.477	terrestrial biome	terrestrial habitat	soil	soil	Iowa	41.771111	-92.961667	0
4494888.3	32	7.648	13.562	13.575	aquatic biome	wastewater treatment plant	activated sludge	wastewater|sludge	Xiangcheng Henan province	33.44	114.9	0
4478242.3	116	7.648	13.569	13.659	aquatic habitat	aquatic habitat	aquatic habitat	water	Ocean Drilling Program Leg 201, Site 1229	-10.9762017	-77.95765	1 ; Meter
4502934.3	31	7.648	13.562	13.477	Prairie Division (250)	field	arable soil	plant-associated	Auburn, IL	39.5976167	-89.7643167	0
4502925.3	31	7.648	13.562	13.477	Prairie Division (250)	field	arable soil	plant-associated	Mansfield, IL	40.21975	-88.4673667	0
4502932.3	31	7.648	13.562	13.575	Prairie Division (250)	field	arable soil	plant-associated	Wrights IL	39.3784833	-90.3239167	0
4510174.3	32	7.638	13.533	13.471	marine benthic biome	ocean	marine sediment	sediment	Gulf of Mexico	28.51414444	-88.60056944	0
4510172.3	32	7.638	13.533	13.471	marine benthic biome	ocean	marine sediment	sediment	Gulf of Mexico	28.41556667	-88.704275	0
4531924.3	32	7.637	13.551	13.478	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	1.5580384	103.6420599	0
4531602.3	32	7.636	13.256	13.259	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	1.5580384	103.6420599	0
4510163.3	32	7.62	13.515	13.477	marine benthic biome	ocean	marine sediment	sediment	Gulf of Mexico	28.731703	-88.358731	0
4531897.3	32	7.612	13.515	13.446	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	1.5580384	103.6420599	0
4539519.3	29	7.604	13.506	13.477	terrestrial biome	terrestrial habitat	soil	soil	Iowa	41.771111	-92.961667	0
