ID 	Public/private	SS	SS_pos 	SS_2014_pos	SS_2014_up	biome	feature	material	env_package	location	latitude	longitude	depth
4440437.3	Public	2.958	8.476	10.148	8.409	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440438.3	Public	1.437	6.445	7.234	5.805	marine biome	saline evaporation pond	saline water	water	Chula Vista, CA	32.6	-117.1072	0
4440439.3	Public	-1.196	0.8	1.173	0.08	freshwater	freshwater	freshwater	water	Tilapia Channel (FW1) at Kent SeaTech, Salton Sea, CA	33.537594	-116.097751	0
4440440.3	Public	3.519	8.982	10.342	8.089	freshwater	freshwater	freshwater	water	Tilapia Channel (FW1) at Kent SeaTech, Salton Sea, CA	33.537594	-116.097751	0
4440960.3	Public	4.975	8.1	9.261	7.401	sediment	sediment	sediment	sediment	Ocean Drilling Program leg 201, site 1229	-10.9762017	-77.95765	1 ; Meter
4440961.3	Public	4.318	8.101	8.845	6.76	sediment	sediment	sediment	sediment	Ocean Drilling Program leg 201, site 1229	-10.9762017	-77.95765	1 ; Meter
4440963.3	Public	5.301	10.755	10.429	7.809	microbial mat	microbial mat	microbial mat	microbial mat|biofilm	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	27.68908	-113.917	.001-.002
4440964.3	Public	4.482	9.86	10.943	8.057	microbial mat	microbial mat	microbial mat	microbial mat|biofilm	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	27.68908	-113.917	0-.001
4440965.3	Public	5.818	10.383	11.7	8.112	microbial mat	microbial mat	microbial mat	microbial mat|biofilm	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	27.68908	-113.917	.002-.003
4440966.3	Public	5.817	10.896	12.271	8.616	microbial mat	microbial mat	microbial mat	microbial mat|biofilm	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	27.68908	-113.917	.003-.004
4440967.3	Public	4.936	10.173	10.786	7.897	microbial mat	microbial mat	microbial mat	microbial mat|biofilm	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	27.68908	-113.917	.004-.005
4440968.3	Public	7.312	11.695	12.03	9.451	microbial mat	microbial mat	microbial mat	microbial mat|biofilm	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	27.68908	-113.917	.010-.022
4440969.3	Public	4.997	10.3	11.693	8.123	microbial mat	microbial mat	microbial mat	microbial mat|biofilm	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	27.68908	-113.917	.005-.006
4440970.3	Public	5.911	11.549	12.579	9.053	microbial mat	microbial mat	microbial mat	microbial mat|biofilm	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	27.68908	-113.917	.006-.010
4440971.3	Public	4.672	9.932	10.168	7.3	microbial mat	microbial mat	microbial mat	microbial mat|biofilm	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	27.68908	-113.917	.022-.034
4440972.3	Public	4.707	9.193	10.78	8.116	microbial mat	microbial mat	microbial mat	microbial mat|biofilm	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	27.68908	-113.917	.034-.049
4440973.3	Public	3.785	6.552	7.227	6.076	sediment	sediment	sediment	sediment	Ocean Drilling Program leg 201, site 1229	10.9762017	77.95765	16 ; Meter
4440984.3	Public	9.468	15.997	16.089	12.127	estuarine biome	marine benthic feature	sandy sediment	sediment	Coorong Lagoon	35.551	138.88	0
4441020.3	Public	9.348	15.767	16.442	12.196	estuarine biome	marine benthic feature	sandy sediment	sediment	Coorong Lagoon	35.79	139.31	0
4441021.3	Public	9.668	16.207	16.546	12.435	estuarine biome	marine benthic feature	sandy sediment	sediment	Coorong Lagoon	35.938	139.488	0
4441022.3	Public	9.855	16.394	15.29	11.369	estuarine biome	marine benthic feature	sandy sediment	sediment	Coorong Lagoon	36.166	139.651	0
4441025.3	Public	1.814	6.748	7.883	5.168	marine habitat	marine habitat	marine habitat	water	Ionian Km3 station	36.51	15.68	3101
4441041.3	Public	1.683	6.67	7.759	5.354	marine habitat	marine habitat	marine habitat	water	HOT station ALOHA	22.75	-158.033	200
4441050.3	Public	2.069	4.909	6.178	4.887	extreme habitat ; hypersaline	extreme habitat ; hypersaline	extreme habitat ; hypersaline	water	crystallizer pond CR30 in the multi-pond saltern "Bras del Port" located in Santa Pola	38.2	0.6	0
4441051.3	Public	-0.689	4.732	6.232	3.847	marine habitat	marine habitat	marine habitat	water	HOT station ALOHA	22.75	-158.033	10
4441055.3	Public	0.646	5.997	7.551	5.228	marine habitat	marine habitat	marine habitat	water	HOT station ALOHA	22.75	-158.033	130
4441056.3	Public	5.486	11.18	12.694	9.157	marine habitat	marine habitat	marine habitat	water	HOT station ALOHA	22.75	-158.033	4000
