SS	SS_2014_up
-2.289	1.309
-1.102	1.303
-0.198	1.282
-0.819	1.272
-0.534	1.243
-0.325	1.241
-0.479	1.223
-0.891	1.196
0.177	1.192
-0.021	1.15
0.199	1.145
0.095	1.119
-0.88	1.104
0.171	1.094
-1.759	1.091
-1.091	1.09
0.305	1.085
-0.547	1.063
0.04	1.041
-0.246	1.036
-0.867	0.989
0.225	0.969
-0.112	0.931
-1.317	0.92
0.128	0.85
-2.584	0.849
0.495	0.82
-0.125	0.817
-2.116	0.814
0.261	0.812
-1.719	0.812
-0.036	0.804
0.991	0.757
-0.463	0.736
-1.815	0.717
0.804	0.703
0.284	0.66
-0.247	0.652
-2.357	0.637
0.029	0.632
-0.026	0.628
-0.026	0.628
0.98	0.608
0.317	0.584
0.317	0.584
-1.721	0.563
0.067	0.531
-0.697	0.531
-0.317	0.525
-1.455	0.525
-1.109	0.504
-0.532	0.49
0.247	0.456
-1.529	0.446
0.042	0.435
-0.183	0.403
0.213	0.395
-0.237	0.342
0.076	0.315
-1.088	0.302
-0.076	0.293
-0.175	0.265
-0.458	0.25
-1.371	0.234
-0.017	0.173
-0.017	0.173
-0.393	0.095
-1.196	0.08
-0.236	0.079
-0.068	0.05
-0.144	0.035
-1.029	0.019
0.001	0.009
0.001	0.009
0.001	0.009
-1.623	0.006
-0.239	-0.022
-0.261	-0.046
-1.067	-0.097
-0.417	-0.247
-2.367	-0.512

